prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size(sq.ft.),furnished,region,near_KTM-LRT,minimart availability,security availability
Sri Putramas,1500,Jalan Kuching,Condominium,3,2,2,1100,2,Kuala Lumpur,0,1,1
Sri Pelangi (Jalan Genting Kelang),1200,Setapak,Condominium,3,1,2,931,1,Kuala Lumpur,0,1,1
Taman Miharja Apartment (LRT Miharja),1500,Cheras,Apartment,3,1,2,950,1,Kuala Lumpur,1,0,0
Kenari Apartment (Taman Melati),1600,Setapak,Apartment,3,1,2,900,2,Kuala Lumpur,1,0,1
Suasana Lumayan,1600,Cheras,Condominium,4,1,2,1142,1,Kuala Lumpur,1,1,1
"The Park 2, Pavilion Bukit Jalil",3200,Bukit Jalil,Service Residence,2,1,2,750,2,Kuala Lumpur,0,1,1
TR Residence,2500,Titiwangsa,Service Residence,3,1,2,850,2,Kuala Lumpur,1,0,1
Majestic Maxim,1300,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,0,1
Genting Court Condominium,1100,Setapak,Condominium,3,1,2,820,1,Kuala Lumpur,0,1,1
Prima Court,900,Ampang,Condominium,3,1,2,890,1,Kuala Lumpur,0,1,1
Royal Regent (Sri Putramas 3),2000,Jalan Kuching,Condominium,3,1,2,1018,2,Kuala Lumpur,0,1,1
Vue Residences,1700,Titiwangsa,Service Residence,2,1,1,726,1,Kuala Lumpur,1,1,1
Tasikmas,1300,Bandar Tasik Selatan,Apartment,3,1,2,850,2,Kuala Lumpur,1,0,1
Wangsa Maju Seksyen2 Flat Block F,750,Wangsa Maju,Other,2,2,1,580,1,Kuala Lumpur,1,1,0
Casa Kiara 1,3000,Mont Kiara,Condominium,4,2,3,1268,2,Kuala Lumpur,1,1,1
Nusa Mewah Villa Condominium,1400,Cheras,Condominium,3,2,2,865,2,Kuala Lumpur,0,1,1
Mizumi Residences,1400,Kepong,Service Residence,3,2,2,932,1,Kuala Lumpur,1,1,1
Maxim Citilights,1350,Sentul,Service Residence,3,1,2,1095,0,Kuala Lumpur,1,1,1
Royal Domain Sri Putramas 2,1880,Jalan Kuching,Service Residence,3,1,2,1290,1,Kuala Lumpur,0,1,1
Tuan Residency,1800,Jalan Kuching,Service Residence,3,1,2,1105,2,Kuala Lumpur,1,1,1
PPA1M Bukit Jalil,1300,Bukit Jalil,Apartment,4,1,2,1200,0,Kuala Lumpur,1,0,1
Bayu Tasik 1,1200,Cheras,Condominium,3,2,2,975,1,Kuala Lumpur,1,1,1
The Nest Residence @ Genting Klang,1499,Setapak,Service Residence,2,1,1,700,2,Kuala Lumpur,1,1,1
Residensi Alam Damai (PR1MA @ Alam Damai),1300,Cheras,Apartment,3,2,2,1000,1,Kuala Lumpur,0,1,1
The Address @ Taman Desa,3300,Taman Desa,Condominium,4,2,3,1118,2,Kuala Lumpur,1,1,1
Regalia Residence,2600,Jalan Sultan Ismail,Service Residence,2,1,1,805,2,Kuala Lumpur,1,1,1
Casa Idaman,1700,Jalan Ipoh,Condominium,3,1,2,1300,1,Kuala Lumpur,1,1,1
PPA1M Mercu Jalil,1300,Bukit Jalil,Apartment,4,1,2,1434,1,Kuala Lumpur,1,1,1
Residensi Jalilmas,1200,Bukit Jalil,Apartment,3,1,2,850,1,Kuala Lumpur,1,1,1
The Era,2800,Segambut,Service Residence,3,2,2,1033,2,Kuala Lumpur,0,0,1
Segar Apartments,1000,Cheras,Apartment,3,1,2,950,1,Kuala Lumpur,1,1,1
Residensi Hijauan Lumayan,1200,Sungai Besi,Apartment,3,1,2,1035,1,Kuala Lumpur,1,0,1
M Vertica,2300,Cheras,Condominium,4,2,3,1000,1,Kuala Lumpur,1,0,1
Pangsapuri Melur (Sentul),1750,Sentul,Apartment,3,1,2,1010,2,Kuala Lumpur,1,1,1
One Maxim,1700,Sentul,Apartment,3,1,2,819,2,Kuala Lumpur,1,0,1
Maxim Citilights,1350,Sentul,Service Residence,3,1,2,1150,1,Kuala Lumpur,0,1,1
Pangsapuri Bukit Baru,750,Keramat,Apartment,3,2,2,722,0,Kuala Lumpur,1,1,0
OUG Parklane,1600,OUG,Apartment,3,2,2,950,2,Kuala Lumpur,1,1,1
Royal Regent (Sri Putramas 3),1800,Jalan Kuching,Condominium,2,1,2,880,2,Kuala Lumpur,0,1,1
PV9 Residences @ Taman Melati,1800,Setapak,Service Residence,3,1,2,850,1,Kuala Lumpur,1,0,1
Vista Angkasa,1300,Bangsar South,Apartment,2,1,2,555,1,Kuala Lumpur,1,1,1
Arte Plus Jalan Ampang,1500,Ampang,Service Residence,1,1,1,680,2,Kuala Lumpur,1,1,1
Maxim Residences,1850,Cheras,Service Residence,3,1,2,1050,2,Kuala Lumpur,1,0,1
Platinum Teratai Residence,1499,Setapak,Apartment,3,2,2,928,1,Kuala Lumpur,1,1,1
Pangsapuri Mawar (Sentul),1300,Sentul,Apartment,3,1,2,1000,0,Kuala Lumpur,1,1,1
Pangsapuri Melur (Sentul),1500,Sentul,Apartment,3,1,2,1100,1,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1450,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,1,1
Suasana Lumayan,1600,Cheras,Condominium,3,1,2,1142,1,Kuala Lumpur,0,1,1
M Vertica,2600,Cheras,Condominium,3,2,2,850,2,Kuala Lumpur,1,1,1
Vista Wirajaya 2 Residensi @ PV9,1500,Setapak,Service Residence,3,1,2,850,1,Kuala Lumpur,1,1,1
Infiniti 3 Residences,2500,Wangsa Maju,Service Residence,3,2,4,1518,1,Kuala Lumpur,1,0,1
Idaman Residence @ KLCC,4800,KLCC,Condominium,3,1,4,1717,2,Kuala Lumpur,1,0,1
Residensi Vista Wirajaya,1550,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,0,1
Residensi Sefina Mont Kiara,4600,Mont Kiara,Condominium,3,2,2,1548,2,Kuala Lumpur,0,1,1
Villa Danau,1250,Setapak,Apartment,3,1,2,1100,1,Kuala Lumpur,1,0,1
Residensi Pandanmas 1,1500,Desa Pandan,Apartment,3,1,2,850,1,Kuala Lumpur,0,1,1
Kenanga Point,1700,Pudu,Condominium,3,1,2,860,1,Kuala Lumpur,1,1,1
M Vertica,2300,Cheras,Condominium,3,3,2,850,2,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1450,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,0,1
Putra Villa,1800,Setapak,Condominium,3,1,2,1125,2,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1650,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,1,1
Residensi Vista Wirajaya,1750,Setapak,Apartment,3,1,2,850,1,Kuala Lumpur,1,1,1
Plaza Menjalara,1600,Bandar Menjalara,Condominium,3,2,2,1180,2,Kuala Lumpur,0,1,1
Aman Dua,1000,Kepong,Apartment,3,1,1,850,1,Kuala Lumpur,0,1,1
EkoCheras Service Apartment,3500,Cheras,Service Residence,2,1,2,1121,2,Kuala Lumpur,1,1,0
Pangsapuri Mawar (Sentul),1400,Sentul,Condominium,3,2,2,1010,2,Kuala Lumpur,1,1,1
Melur Apartment (Sentul),1700,Sentul,Apartment,3,1,2,1065,2,Kuala Lumpur,1,1,1
M Centura,2500,Sentul,Service Residence,3,1,2,850,2,Kuala Lumpur,0,0,1
Inspirasi Mont Kiara,2950,Mont Kiara,Service Residence,3,2,2,940,2,Kuala Lumpur,0,0,1
M Centura,2400,Sentul,Service Residence,4,2,2,1001,1,Kuala Lumpur,0,1,1
PV9 Residences @ Taman Melati,1800,Setapak,Condominium,3,2,2,1000,2,Kuala Lumpur,1,1,1
Panorama Residences (Sentul),1800,Sentul,Condominium,3,1,2,1100,2,Kuala Lumpur,0,1,1
Residensi Rampai II,2000,Setapak,Apartment,4,2,2,950,2,Kuala Lumpur,0,1,1
Putra Villa,1800,Setapak,Condominium,3,1,2,1076,2,Kuala Lumpur,0,1,0
28 Boulevard,1900,Pandan Perdana,Apartment,2,1,2,678,2,Kuala Lumpur,1,1,1
222 Residency,650,Setapak,Condominium,4,2,2,1200,2,Kuala Lumpur,1,1,1
Trinity Aquata,1900,Sungai Besi,Condominium,3,2,2,1216,1,Kuala Lumpur,0,0,1
Residensi Vista Wirajaya,1500,Setapak,Service Residence,3,1,2,850,0,Kuala Lumpur,0,1,1
D'Suria Condominium,2400,Ampang,Condominium,3,1,2,1060,2,Kuala Lumpur,0,0,1
Waldorf Tower,2800,Sri Hartamas,Service Residence,3,1,3,1000,2,Kuala Lumpur,0,0,1
M Vertica,1800,Cheras,Condominium,3,2,2,850,1,Kuala Lumpur,1,0,1
